,성별,석차,계열석차백분율,1학년 1학기,1학년 2학기,1학년 전학기,2학년 1학기,2학년 2학기,2학년 전학기,전학년
722,여,315,94.59,6.68,7.8,7.24,8.04,8.57,8.3,7.75
1118,여,317,95.2,8.32,7.6,7.96,7.39,7.78,7.59,7.78
1310,남,318,95.5,8.16,7.68,7.92,7.57,0,7.57,7.81
1312,남,319,95.8,7.15,7.77,7.46,7.87,8.57,8.22,7.82
136,남,320,96.1,8.32,7.92,8.12,7.83,7.22,7.52,7.83
132,남,321,96.4,7.64,8.16,7.9,8.43,7.43,7.93,7.92
1226,남,322,96.7,7.68,7.84,7.76,8.39,7.87,8.13,7.94
1319,남,323,97,7.58,7.5,7.54,8.09,8.74,8.41,7.95
214,남,324,97.3,8.4,8.4,8.4,7.04,0,7.04,7.97
1227,남,325,97.6,7.96,8.52,8.24,8.26,7.48,7.87,8.06
913,남,326,97.9,8.08,8.4,8.24,8.57,7.52,8.04,8.15
1127,여,327,98.2,8.68,8.6,8.64,7.52,7.87,7.7,8.19
134,여,328,98.5,9,8.28,8.64,7.26,8.22,7.74,8.21
919,남,329,98.8,8.72,8.84,8.78,8.04,7.35,7.7,8.26
1311,남,329,98.8,8.2,8.36,8.28,8.09,8.39,8.24,8.26
827,남,310,93.09,8.36,7.32,7.84,7.52,7.35,7.43,7.65
917,남,332,99.7,8.84,8.52,8.68,8.52,8.39,8.46,8.57
133,남,333,100,8.58,8.88,8.73,9,8.57,8.78,8.76
